Date;mean;TempMean;TempMin;TempMax;WindSpeed;WindSpeedMaxS;Precip;Time;Posan;Instant;JourSemaine;SoleilLeve
15/12/2010 00:00;;38.5;34.0;41.0;8.0;15.9;0.0;24914;348;48;5;0
15/12/2010 00:30;;38.5;34.0;41.0;8.0;15.9;0.0;24915;348;1;5;0
15/12/2010 01:00;;38.5;34.0;41.0;8.0;15.9;0.0;24916;348;2;5;0
15/12/2010 01:30;;38.5;34.0;41.0;8.0;15.9;0.0;24917;348;3;5;0
15/12/2010 02:00;;38.5;34.0;41.0;8.0;15.9;0.0;24918;348;4;5;0
15/12/2010 02:30;;38.5;34.0;41.0;8.0;15.9;0.0;24919;348;5;5;0
15/12/2010 03:00;;38.5;34.0;41.0;8.0;15.9;0.0;24920;348;6;5;0
15/12/2010 03:30;;38.5;34.0;41.0;8.0;15.9;0.0;24921;348;7;5;0
15/12/2010 04:00;;38.5;34.0;41.0;8.0;15.9;0.0;24922;348;8;5;0
15/12/2010 04:30;;38.5;34.0;41.0;8.0;15.9;0.0;24923;348;9;5;0
15/12/2010 05:00;;38.5;34.0;41.0;8.0;15.9;0.0;24924;348;10;5;0
15/12/2010 05:30;;38.5;34.0;41.0;8.0;15.9;0.0;24925;348;11;5;0
15/12/2010 06:00;;38.5;34.0;41.0;8.0;15.9;0.0;24926;348;12;5;0
15/12/2010 06:30;;38.5;34.0;41.0;8.0;15.9;0.0;24927;348;13;5;0
15/12/2010 07:00;;38.5;34.0;41.0;8.0;15.9;0.0;24928;348;14;5;0
15/12/2010 07:30;;38.5;34.0;41.0;8.0;15.9;0.0;24929;348;15;5;0
15/12/2010 08:00;;38.5;34.0;41.0;8.0;15.9;0.0;24930;348;16;5;0
15/12/2010 08:30;;38.5;34.0;41.0;8.0;15.9;0.0;24931;348;17;5;1
15/12/2010 09:00;;38.5;34.0;41.0;8.0;15.9;0.0;24932;348;18;5;1
15/12/2010 09:30;;38.5;34.0;41.0;8.0;15.9;0.0;24933;348;19;5;1
15/12/2010 10:00;;38.5;34.0;41.0;8.0;15.9;0.0;24934;348;20;5;1
15/12/2010 10:30;;38.5;34.0;41.0;8.0;15.9;0.0;24935;348;21;5;1
15/12/2010 11:00;;38.5;34.0;41.0;8.0;15.9;0.0;24936;348;22;5;1
