Date,mean,TempMean,TempMin,TempMax,WindSpeed,WindSpeedMaxS,WindSpeedMaxG,Precip,Time,Posan,Instant
2010-01-01 00:00:00,0.7396673866090713,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8210,1,48
2010-01-01 00:30:00,0.6954125269978402,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8211,1,1
2010-01-01 01:00:00,0.6324989200863931,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8212,1,2
2010-01-01 01:30:00,0.5324362850971922,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8213,1,3
2010-01-01 02:00:00,0.45308423326133906,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8214,1,4
2010-01-01 02:30:00,0.38555291576673867,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8215,1,5
2010-01-01 03:00:00,0.36236933045356373,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8216,1,6
2010-01-01 03:30:00,0.3405010799136069,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8217,1,7
2010-01-01 04:00:00,0.29717278617710585,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8218,1,8
2010-01-01 04:30:00,0.2711209503239741,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8219,1,9
2010-01-01 05:00:00,0.26549676025917923,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8220,1,10
2010-01-01 05:30:00,0.2700928725701944,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8221,1,11
2010-01-01 06:00:00,0.25086177105831536,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8222,1,12
2010-01-01 06:30:00,0.24539308855291578,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8223,1,13
2010-01-01 07:00:00,0.26858099352051834,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8224,1,14
2010-01-01 07:30:00,0.28708855291576674,29.1,24.8,33.8,8.3,12.0,999.9,0.11,8225,1,15
